url,status_code
foursquare.com,Notworking
google.co.in/business/,Notworking
about.me/,Notworking
bizjournals.com/profiles/company,Notworking
trustpilot.com,Notworking
offers.hubspot.com/solutions-directory-listing,Notworking
bbb.org/en/us/get-listed,Notworking
smallbusiness.yahoo.com/local-listings,Notworking
patch.com/,Notworking
mapquest.com,Notworking
listings.mapquest.com/pl/mapquest-claims/preview.html,Notworking
yellowpages.com,Notworking
openstreetmap.org,Notworking
mapcreator.here.com/mapcreator/,Notworking
angieslist.com,Notworking
tradeindia.com,Notworking
zomato.com,Notworking
city-data.com/,Notworking
biz.prlog.org,Notworking
apsense.com,Notworking
sulekha.com,Notworking
indiamart.com,Notworking
justlanded.com,Notworking
dev.to/,Notworking
citysearch.com/world,Notworking
sitejabber.com,Notworking
merchantcircle.com/signup/,Notworking
yellowpages.webindia123.com,Notworking
webindia123.com/,Notworking
superpages.com/,Notworking
reviewcentre.com,Notworking
justdial.com,Notworking
indiacom.com,Notworking
local.com/claim-your-listing,Notworking
yellowbot.com/signin/register,Notworking
yellowpagesgoesgreen.org/add,Notworking
spoke.com,Notworking
mouthshut.com,Notworking
insiderpages.com,Notworking
chamberofcommerce.com/members/register,Notworking
company.com,Notworking
lbb.in,Notworking
elocal.com,Notworking
ezilon.com,Notworking
hotfrog.com,Notworking
in.ezilon.com,Notworking
botw.org,Notworking
connect.releasewire.com,Notworking
exportersindia.com,Notworking
local.botw.org/,Notworking
startupxplore.com,Notworking
storeboard.com/india/,Notworking
dashboard.ezlocal.com/login.aspx,Notworking
bingplaces.com/,Notworking
yellowpages.cybo.com,Notworking
startupranking.com,Notworking
cybo.com,Notworking
salespider.com/claim-your-business-for-free,Notworking
showmelocal.com/register.aspx,Notworking
http://hub.biz/,403
ibegin.com,Notworking
directory.edugorilla.com,Notworking
enetget.com/,Notworking
lacartes.com,Notworking
citysquares.com/add_business,Notworking
clickindia.com,Notworking
callupcontact.com,Notworking
trepup.com,Notworking
nexport.com,Notworking
traderscity.com,Notworking
discoverourtown.com/add/,Notworking
ebusinesspages.com,Notworking
2findlocal.com,Notworking
adlandpro.com,Notworking
golocal247.com/,Notworking
biz.indiaonline.in/index.html,Notworking
dotnetfunda.com/,Notworking
finduslocal.com,Notworking
indiaonline.in/,Notworking
local.indiaonline.in,Notworking
trustlink.org,Notworking
twenty19.com,Notworking
enrollbusiness.com,Notworking
in.enrollbusiness.com,Notworking
lekkoo.com,Notworking
cpadirectory.com,Notworking
whodoyou.com,Notworking
whofish.org,Notworking
cityfos.com,Notworking
hotfrog.in,Notworking
bizvotes.com,Notworking
tupalo.co/,Notworking
myhuckleberry.com/add-listing.aspx,Notworking
csslight.com,Notworking
smartguy.com,Notworking
traiborg.com,Notworking
tupalo.net,Notworking
localpages.com/,Notworking
find-us-here.com,Notworking
hotvsnot.com/,Notworking
kugli.com,Notworking
40billion.com,Notworking
bizhwy.com,Notworking
salonseeker.com,Notworking
fyple.com,Notworking
ogoing.com/,Notworking
indianceo.in,Notworking
indiatradezone.com,Notworking
learnpick.in,Notworking
aihitdata.com,Notworking
cityinsider.com,Notworking
nicefirm.com/,Notworking
indianyellowpages.com,Notworking
6qube.com,Notworking
where2go.com/default.html,Notworking
expressupdate.com,Notworking
fundoodata.com,Notworking
local.6qube.com/,Notworking
adsansar.com,Notworking
freelistingindia.in,Notworking
getfreelisting.com,Notworking
indiae.in,Notworking
yalwa.in,Notworking
zoompo.com,Notworking
wand.com,Notworking
indiabizclub.com,Notworking
pitnit.com,Notworking
indiacatalog.com,Notworking
bizsheet.com,Notworking
bunity.com,Notworking
yelu.in,Notworking
orapages.com,Notworking
eindiabusiness.com,Notworking
grotal.com,Notworking
igotbiz.com,Notworking
postallads4free.com,Notworking
tuugo.in,Notworking
locanto.net,Notworking
https://www.in.locan.to/,403
indiabook.com,Notworking
khojinindia.com,Notworking
zipleaf.com,Notworking
ncrcities.com,Notworking
jantareview.com,Notworking
bigwigbiz.com,Notworking
buckeyeads.com,Notworking
jobiba.com,Notworking
https://cityslick.net/,406
wadline.com,Notworking
dialindia.com,Notworking
frontbazzar.com,Notworking
allfreethings.com/,Notworking
business-startpage.com,Notworking
buyandsell.com,Notworking
clickooz.com,Notworking
companylist.org,Notworking
south-delhi.infoisinfo.co.in,Notworking
onestopb2b.com,Notworking
gbguides.com/,Notworking
infoisinfo.co.in,Notworking
localbiznetwork.com/india,Notworking
accountant-finder.com,Notworking
bresdel.com/,Notworking
jimyellowpages.com,Notworking
bgyellowpages.com,Notworking
placereference.com,Notworking
sholay.in,Notworking
jsdirectory.com,Notworking
biz15.co.in,Notworking
quponing.com,Notworking
searchingurgaon.com,Notworking
nextbizdoor.com,Notworking
nextbizthing.com,Notworking
indyapages.com,Notworking
infoline.in/,Notworking
10hostings.com,Notworking
bizdays.com,Notworking
yellowpages.in,Notworking
paperdoor.in,Notworking
vcsdata.com,Notworking
gidonline.com,Notworking
linkbyme.com,Notworking
bizcyclone.com/,Notworking
bizzduniya.com,Notworking
channeliser.com/,Notworking
rajb2b.com,Notworking
vanik.com,Notworking
ecity.com,Notworking
aaspaas.com,Notworking
adoak.com,Notworking
onlyuncle.com,Notworking
indiabizlist.com,Notworking
callme.co.in/,Notworking
placelookup.net,Notworking
entireindia.com,Notworking
localdiaries.in/,Notworking
bharathlisting.com,Notworking
